dataset,depth,threads,time_sec,accuracy,misclassification
page,2,6,0.042,0.953773,253
page,2,7,0.042,0.953773,253
page,2,8,0.038,0.953773,253
page,2,9,0.038,0.953773,253
page,2,10,0.038,0.953773,253
page,2,11,0.041,0.953773,253
page,2,12,0.056,0.953773,253
page,2,13,0.047,0.953773,253
page,2,14,0.047,0.953773,253
page,2,15,0.048,0.953773,253
page,2,16,0.042,0.953773,253
page,2,32,0.051,0.953773,253
page,2,60,0.041,0.953773,253
raisin,2,1,0.012,0.878889,109
raisin,2,2,0.008,0.878889,109
raisin,2,3,0.006,0.878889,109
raisin,2,4,0.005,0.878889,109
raisin,2,5,0.004,0.878889,109
raisin,2,6,0.004,0.878889,109
raisin,2,7,0.008,0.878889,109
raisin,2,8,0.009,0.878889,109
raisin,2,9,0.006,0.878889,109
raisin,2,10,0.004,0.878889,109
raisin,2,11,0.005,0.878889,109
raisin,2,12,0.004,0.878889,109
raisin,2,13,0.007,0.878889,109
raisin,2,14,0.004,0.878889,109
raisin,2,15,0.01,0.878889,109
raisin,2,16,0.004,0.878889,109
raisin,2,32,0.012,0.878889,109
raisin,2,60,0.011,0.878889,109
magic,2,1,0.526,0.803049,3746
magic,2,2,0.379,0.803049,3746
magic,2,3,0.296,0.803049,3746
magic,2,4,0.285,0.803049,3746
magic,2,5,0.276,0.803049,3746
magic,2,6,0.267,0.803049,3746
magic,2,7,0.263,0.803049,3746
magic,2,8,0.25,0.803049,3746
magic,2,9,0.208,0.803049,3746
magic,2,10,0.451,0.803049,3746
magic,2,11,0.304,0.803049,3746
magic,2,12,0.283,0.803049,3746
magic,2,13,0.29,0.803049,3746
magic,2,14,0.284,0.803049,3746
magic,2,15,0.416,0.803049,3746
magic,2,16,0.282,0.803049,3746
magic,2,32,0.282,0.803049,3746
magic,2,60,0.3,0.803049,3746
segment,2,1,0.076,0.571429,990
segment,2,2,0.04,0.571429,990
segment,2,3,0.033,0.571429,990
segment,2,4,0.029,0.571429,990
segment,2,5,0.03,0.571429,990
segment,2,6,0.026,0.571429,990
segment,2,7,0.023,0.571429,990
segment,2,8,0.037,0.571429,990
segment,2,9,0.021,0.571429,990
segment,2,10,0.023,0.571429,990
segment,2,11,0.02,0.571429,990
segment,2,12,0.02,0.571429,990
segment,2,13,0.019,0.571429,990
segment,2,14,0.035,0.571429,990
segment,2,15,0.035,0.571429,990
segment,2,16,0.031,0.571429,990
segment,2,32,0.04,0.571429,990
segment,2,60,0.035,0.571429,990
bidding,2,1,0.177,0.982123,113
bidding,2,2,0.156,0.982123,113
bidding,2,3,0.157,0.982123,113
bidding,2,4,0.157,0.982123,113
bidding,2,5,0.157,0.982123,113
bidding,2,6,0.159,0.982123,113
bidding,2,7,0.157,0.982123,113
bidding,2,8,0.157,0.982123,113
bidding,2,9,0.157,0.982123,113
bidding,2,10,0.157,0.982123,113
bidding,2,11,0.157,0.982123,113
bidding,2,12,0.185,0.982123,113
bidding,2,13,0.168,0.982123,113
bidding,2,14,0.157,0.982123,113
bidding,2,15,0.165,0.982123,113
bidding,2,16,0.168,0.982123,113
bidding,2,32,0.174,0.982123,113
bidding,2,60,0.175,0.982123,113
htru,2,1,0.471,0.979383,369
htru,2,2,0.327,0.979383,369
htru,2,3,0.31,0.979383,369
htru,2,4,0.252,0.979383,369
htru,2,5,0.262,0.979383,369
htru,2,6,0.248,0.979383,369
htru,2,7,0.244,0.979383,369
htru,2,8,0.249,0.979383,369
htru,2,9,0.246,0.979383,369
htru,2,10,0.249,0.979383,369
htru,2,11,0.252,0.979383,369
htru,2,12,0.242,0.979383,369
htru,2,13,0.259,0.979383,369
htru,2,14,0.247,0.979383,369
htru,2,15,0.248,0.979383,369
htru,2,16,0.243,0.979383,369
htru,2,32,0.253,0.979383,369
htru,2,60,0.259,0.979383,369
bean,2,1,0.513,0.66145,4608
bean,2,2,0.279,0.66145,4608
bean,2,3,0.197,0.66145,4608
bean,2,4,0.238,0.66145,4608
bean,2,5,0.207,0.66145,4608
bean,2,6,0.21,0.66145,4608
bean,2,7,0.22,0.66145,4608
bean,2,8,0.219,0.66145,4608
bean,2,9,0.253,0.66145,4608
bean,2,10,0.261,0.66145,4608
bean,2,11,0.27,0.66145,4608
bean,2,12,0.285,0.66145,4608
bean,2,13,0.249,0.66145,4608
bean,2,14,0.252,0.66145,4608
bean,2,15,0.278,0.66145,4608
bean,2,16,0.268,0.66145,4608
bean,2,32,0.402,0.66145,4608
bean,2,60,0.252,0.66145,4608
avila,2,1,0.262,0.539129,9617
avila,2,2,0.2,0.539129,9617
avila,2,3,0.174,0.539129,9617
avila,2,4,0.166,0.539129,9617
avila,2,5,0.15,0.539129,9617
avila,2,6,0.159,0.539129,9617
avila,2,7,0.153,0.539129,9617
avila,2,8,0.437,0.539129,9617
avila,2,9,0.418,0.539129,9617
avila,2,10,0.509,0.539129,9617
avila,2,11,0.512,0.539129,9617
avila,2,12,0.508,0.539129,9617
avila,2,13,0.507,0.539129,9617
avila,2,14,0.52,0.539129,9617
avila,2,15,0.5,0.539129,9617
avila,2,16,0.513,0.539129,9617
avila,2,32,0.504,0.539129,9617
avila,2,60,0.522,0.539129,9617
fault,3,1,48.999,0.676971,627
fault,3,2,22.401,0.676971,627
fault,3,3,16.562,0.676971,627
fault,3,4,14.14,0.676971,627
fault,3,5,11.839,0.676971,627
fault,3,6,10.738,0.676971,627
fault,3,7,9.434,0.676971,627
fault,3,8,8.295,0.676971,627
fault,3,9,7.616,0.676971,627
fault,3,10,7.375,0.676971,627
fault,3,11,6.521,0.676971,627
fault,3,12,4.883,0.676971,627
fault,3,13,4.559,0.676971,627
fault,3,14,4.374,0.676971,627
fault,3,15,4.625,0.676971,627
fault,3,16,4.838,0.676971,627
fault,3,32,4.895,0.676971,627
fault,3,60,6.131,0.676971,627
bank,3,1,0.109,0.983236,23
bank,3,2,0.067,0.983236,23
bank,3,3,0.057,0.983236,23
bank,3,4,0.119,0.983236,23
bank,3,5,0.128,0.983236,23
bank,3,6,0.147,0.983236,23
bank,3,7,0.145,0.983236,23
bank,3,8,0.147,0.983236,23
bank,3,9,0.147,0.983236,23
bank,3,10,0.118,0.983236,23
bank,3,11,0.112,0.983236,23
bank,3,12,0.105,0.983236,23
bank,3,13,0.09,0.983236,23
bank,3,14,0.1,0.983236,23
bank,3,15,0.115,0.983236,23
bank,3,16,0.096,0.983236,23
bank,3,32,0.156,0.983236,23
bank,3,60,0.459,0.983236,23
skin,3,1,22.452,0.96833,7761
skin,3,2,13.141,0.96833,7761
skin,3,3,10.808,0.96833,7761
skin,3,4,10.236,0.96833,7761
skin,3,5,10.251,0.96833,7761
skin,3,6,10.14,0.96833,7761
skin,3,7,8.9,0.96833,7761
skin,3,8,8.01,0.96833,7761
skin,3,9,9.305,0.96833,7761
skin,3,10,8.114,0.96833,7761
skin,3,11,8.199,0.96833,7761
skin,3,12,7.089,0.96833,7761
skin,3,13,7.24,0.96833,7761
skin,3,14,6.691,0.96833,7761
skin,3,15,6.396,0.96833,7761
skin,3,16,5.559,0.96833,7761
skin,3,32,5.908,0.96833,7761
skin,3,60,5.836,0.96833,7761
wilt,3,1,4.024,0.981814,88
wilt,3,2,1.968,0.981814,88
wilt,3,3,1.522,0.981814,88
wilt,3,4,1.679,0.981814,88
wilt,3,5,1.725,0.981814,88
wilt,3,6,1.712,0.981814,88
wilt,3,7,1.722,0.981814,88
wilt,3,8,1.483,0.981814,88
wilt,3,9,1.551,0.981814,88
wilt,3,10,1.5,0.981814,88
wilt,3,11,1.448,0.981814,88
wilt,3,12,1.631,0.981814,88
wilt,3,13,1.451,0.981814,88
wilt,3,14,1.386,0.981814,88
wilt,3,15,1.204,0.981814,88
wilt,3,16,1.339,0.981814,88
wilt,3,32,1.391,0.981814,88
wilt,3,60,1.522,0.981814,88
rice,3,1,35.442,0.93622,243
rice,3,2,16.036,0.93622,243
rice,3,3,13.761,0.93622,243
rice,3,4,12.697,0.93622,243
rice,3,5,12.356,0.93622,243
rice,3,6,11.998,0.93622,243
rice,3,7,10.8,0.93622,243
